Ville,Nom,Adresse,Étoiles,Note,Avis,Prix
Koh Rong,The One Resort Koh Rong,"Pagoda Beach,Koh Rong - Voir sur la carte",3 étoiles,8.3,270,152 €
Koh Rong Sanloem,Sara Resort,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",4 étoiles,8.7,743,N/A
Koh Rong Sanloem,Saracen Bay Resort,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",,9.2,610,64 €
Koh Rong Sanloem,Eden Beach Resort By EHM,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",4 étoiles,8.9,382,88 €
Koh Rong Sanloem,"The Cliff Hostel, M'pay Bay","Mpai Bei,Koh Rong Samloem - Voir sur la carte",,8.1,353,13 €
Koh Rong Sanloem,La Passion by Achariyak,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",4 étoiles,8.8,550,103 €
Koh Rong Sanloem,SoonNoeng Resort,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",4 étoiles,8.6,76,64 €
Koh Rong Sanloem,Paradise Villas Koh Rong Sanloem,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",3 étoiles,8.1,167,37 €
Koh Rong Sanloem,One Beach Resort By EHM,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",4 étoiles,8,187,80 €
Koh Rong Sanloem,Onederz Koh Rong Sanloem,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",1 étoile,8.8,455,N/A
Koh Rong Sanloem,Tube Resort By EHM,"Saracen Bay,Koh Rong Samloem - Voir sur la carte",4 étoiles,8.3,411,68 €
